Feature,Importance
Inventory_Ratio,0.9822943224037674
Year,0.005792316866047544
Lag_12,0.004680342654120177
Rolling_Min_4,0.002628240590530378
Rolling_Mean_8,0.0019382791541759602
Rolling_Max_4,0.000806180964450238
ISO_Week,0.0007354319608263339
Week_Number,0.000598397889409644
Rolling_Mean_4,0.00030349080640730265
Avg_Temperature,0.00016477682256260936
Month,4.3560855528544814e-05
Lag_8,1.465903217407039e-05
Lag_2,0.0
Quarter,0.0
Lag_1,0.0
Rolling_Std_4,0.0
Lag_3,0.0
Lag_4,0.0
Discount_Flag,0.0
Returns_Rate,0.0
Promo_Flag,0.0
Holiday_Flag,0.0
Rainfall,0.0
