Qty_Sold,Week_End_Date,Product_ID,Year,Month,Quarter,ISO_Week,Week_Number,Month_Start,Month_End,Lag_1,Lag_2,Lag_3,Lag_4,Lag_8,Lag_12,Rolling_Mean_4,Rolling_Mean_8,Rolling_Std_4,Rolling_Max_4,Rolling_Min_4,Discount_Flag,Returns_Rate,Inventory_Ratio,Promo_Flag,Holiday_Flag,Rainfall,Avg_Temperature,Season,Demand_Class
69,2023-01-07,TE001,2023,1,1,1,1,2023-01-01,2023-01-31 23:59:59.999999,,,,,,,,,,,,1,0.043478260869565216,7.304347826086956,1,1,15.3,11.04,Winter,Smooth
73,2023-01-14,TE001,2023,1,1,2,2,2023-01-01,2023-01-31 23:59:59.999999,69.0,,,,,,69.0,69.0,,69.0,69.0,1,0.0273972602739726,6.972602739726027,0,0,10.24,16.52,Winter,Smooth
61,2023-01-21,TE001,2023,1,1,3,3,2023-01-01,2023-01-31 23:59:59.999999,73.0,69.0,,,,,71.0,71.0,2.8284271247461903,73.0,69.0,1,0.06557377049180328,8.065573770491802,0,0,7.17,15.64,Winter,Smooth
51,2023-01-28,TE001,2023,1,1,4,4,2023-01-01,2023-01-31 23:59:59.999999,61.0,73.0,69.0,,,,67.66666666666667,67.66666666666667,6.110100926607789,73.0,61.0,1,0.058823529411764705,9.470588235294118,0,0,39.2,19.58,Winter,Smooth
69,2023-02-04,TE001,2023,2,1,5,5,2023-02-01,2023-02-28 23:59:59.999999,51.0,61.0,73.0,69.0,,,63.5,63.5,9.712534856222312,73.0,51.0,1,0.028985507246376812,7.173913043478261,0,0,5.54,18.5,Fall,Smooth
56,2023-02-11,TE001,2023,2,1,6,6,2023-02-01,2023-02-28 23:59:59.999999,69.0,51.0,61.0,73.0,,,63.5,64.6,9.712534856222312,73.0,51.0,1,0.017857142857142856,8.982142857142858,0,0,43.19,18.93,Fall,Smooth
48,2023-02-18,TE001,2023,2,1,7,7,2023-02-01,2023-02-28 23:59:59.999999,56.0,69.0,51.0,61.0,,,59.25,63.166666666666664,7.675719293112973,69.0,51.0,1,0.0625,9.854166666666666,0,0,48.31,27.25,Fall,Smooth
58,2023-02-25,TE001,2023,2,1,8,8,2023-02-01,2023-02-28 23:59:59.999999,48.0,56.0,69.0,51.0,,,56.0,61.0,9.273618495495706,69.0,48.0,1,0.017241379310344827,8.172413793103448,0,0,15.64,27.47,Fall,Smooth
75,2023-03-04,TE001,2023,3,1,9,9,2023-03-01,2023-03-31 23:59:59.999999,58.0,48.0,56.0,69.0,69.0,,57.75,60.625,8.655441448399193,69.0,48.0,1,0.05333333333333334,6.506666666666667,0,0,17.75,26.4,Summer,Smooth
53,2023-03-11,TE001,2023,3,1,10,10,2023-03-01,2023-03-31 23:59:59.999999,75.0,58.0,48.0,56.0,73.0,,59.25,61.375,11.354147553500734,75.0,48.0,0,0.018867924528301886,8.867924528301886,1,0,37.61,26.85,Summer,Smooth
48,2023-03-18,TE001,2023,3,1,11,11,2023-03-01,2023-03-31 23:59:59.999999,53.0,75.0,58.0,48.0,61.0,,58.5,58.875,11.733143937865362,75.0,48.0,1,0.041666666666666664,9.8125,1,0,6.51,30.81,Summer,Smooth
44,2023-03-25,TE001,2023,3,1,12,12,2023-03-01,2023-03-31 23:59:59.999999,48.0,53.0,75.0,58.0,51.0,,58.5,57.25,11.733143937865362,75.0,48.0,1,0.045454545454545456,11.068181818181818,0,0,23.56,29.05,Summer,Smooth
55,2023-04-01,TE001,2023,4,2,13,13,2023-04-01,2023-04-30 23:59:59.999999,44.0,48.0,53.0,75.0,69.0,69.0,55.0,56.375,13.832329280830955,75.0,44.0,1,0.07272727272727272,8.781818181818181,1,0,25.75,27.86,Summer,Smooth
57,2023-04-08,TE001,2023,4,2,14,14,2023-04-01,2023-04-30 23:59:59.999999,55.0,44.0,48.0,53.0,56.0,73.0,50.0,54.625,4.966554808583786,55.0,44.0,1,0.03508771929824561,8.350877192982455,0,0,25.53,29.32,Summer,Smooth
45,2023-04-15,TE001,2023,4,2,15,15,2023-04-01,2023-04-30 23:59:59.999999,57.0,55.0,44.0,48.0,48.0,61.0,51.0,54.75,6.055300708194988,57.0,44.0,1,0.06666666666666667,10.88888888888889,0,0,4.41,28.71,Summer,Smooth
56,2023-04-22,TE001,2023,4,2,16,16,2023-04-01,2023-04-30 23:59:59.999999,45.0,57.0,55.0,44.0,58.0,51.0,50.25,54.375,6.701989754294371,57.0,44.0,1,0.05357142857142857,8.232142857142858,0,0,7.43,29.59,Summer,Smooth
