Feature,Data_Type,Missing_Count,Missing_Percentage,Min,Max,Mean
Qty_Sold,int64,0,0.0,14,150,56.45461538461539
Week_End_Date,datetime64[us],0,0.0,N/A,N/A,N/A
Product_ID,str,0,0.0,N/A,N/A,N/A
Year,int32,0,0.0,2023,2024,2023.5
Month,int32,0,0.0,1,12,6.576923076923077
Quarter,int32,0,0.0,1,4,2.519230769230769
ISO_Week,UInt32,0,0.0,1,52,26.5
Week_Number,int64,0,0.0,0,52,26.0
Month_Start,datetime64[us],0,0.0,N/A,N/A,N/A
Month_End,datetime64[us],0,0.0,N/A,N/A,N/A
Lag_1,float64,25,0.9615384615384616,14.0,150.0,56.46563106796116
Lag_2,float64,50,1.9230769230769231,14.0,150.0,56.460392156862746
Lag_3,float64,75,2.8846153846153846,14.0,150.0,56.487524752475245
Lag_4,float64,100,3.8461538461538463,14.0,150.0,56.5096
Lag_8,float64,200,7.6923076923076925,14.0,150.0,56.50333333333333
Lag_12,float64,300,11.538461538461538,14.0,150.0,56.55347826086957
Rolling_Mean_4,float64,25,0.9615384615384616,16.5,136.0,56.47297734627831
Rolling_Mean_8,float64,25,0.9615384615384616,16.5,129.0,56.43550300508552
Rolling_Std_4,float64,50,1.9230769230769231,0.0,38.82009788756334,9.448761398154506
Rolling_Max_4,float64,25,0.9615384615384616,17.0,150.0,66.82213592233009
Rolling_Min_4,float64,25,0.9615384615384616,14.0,120.0,46.365825242718444
Discount_Flag,int64,0,0.0,0,1,0.801923076923077
Returns_Rate,float64,0,0.0,0.0,0.07954545454545454,0.038505891156670774
Inventory_Ratio,float64,0,0.0,2.420689655172414,34.42857142857143,9.187466396204355
Promo_Flag,int64,0,0.0,0,1,0.23076923076923078
Holiday_Flag,int64,0,0.0,0,1,0.028846153846153848
Rainfall,float64,0,0.0,1.01,191.91,48.682115384615386
Avg_Temperature,float64,0,0.0,11.04,32.69,23.583365384615384
Season,str,0,0.0,N/A,N/A,N/A
Demand_Class,str,0,0.0,N/A,N/A,N/A
