Column,Non_Null_Count,Null_Count,Null_Percentage,Data_Type
Lag_12,2300,300,11.538461538461538,float64
Lag_8,2400,200,7.6923076923076925,float64
Lag_4,2500,100,3.8461538461538463,float64
Lag_3,2525,75,2.8846153846153846,float64
Lag_2,2550,50,1.9230769230769231,float64
Rolling_Std_4,2550,50,1.9230769230769231,float64
Rolling_Mean_4,2575,25,0.9615384615384616,float64
Rolling_Min_4,2575,25,0.9615384615384616,float64
Rolling_Max_4,2575,25,0.9615384615384616,float64
Rolling_Mean_8,2575,25,0.9615384615384616,float64
Lag_1,2575,25,0.9615384615384616,float64
Quarter,2600,0,0.0,int32
Qty_Sold,2600,0,0.0,int64
Week_End_Date,2600,0,0.0,datetime64[us]
ISO_Week,2600,0,0.0,UInt32
Week_Number,2600,0,0.0,int64
Month_Start,2600,0,0.0,datetime64[us]
Month_End,2600,0,0.0,datetime64[us]
Product_ID,2600,0,0.0,str
Year,2600,0,0.0,int32
Month,2600,0,0.0,int32
Discount_Flag,2600,0,0.0,int64
Returns_Rate,2600,0,0.0,float64
Inventory_Ratio,2600,0,0.0,float64
Promo_Flag,2600,0,0.0,int64
Holiday_Flag,2600,0,0.0,int64
Rainfall,2600,0,0.0,float64
Avg_Temperature,2600,0,0.0,float64
Season,2600,0,0.0,str
Demand_Class,2600,0,0.0,str
