Phase,Notebook,Status,Time(sec),Error
1,01_Business_Understanding.ipynb,PASS,6.2,
2,02_Data_Understanding.ipynb,PASS,5.6,
3,03_Preprocessing.ipynb,PASS,5.3,
4,04_EDA.ipynb,PASS,19.2,
5,05_Merge_Analysis.ipynb,PASS,14.9,
6,06_Demand_Classification.ipynb,PASS,8.9,
7,07_Feature_Engineering.ipynb,PASS,7.8,
8,08_Model_Training.ipynb,FAIL,5.6,An error occurred while executing the following cell:
9,09_Cross_Validation.ipynb,FAIL,3.9,An error occurred while executing the following cell:
10,10_Forecasting.ipynb,FAIL,5.1,An error occurred while executing the following cell:
